Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1.516432
1	SP GFLOPS	2.439941
1	DP GFLOPS	0.0
1	x87 GFLOPS	0.0
1	CPI Rate	1.160593
1	Average CPU Frequency	2851193478.833994
1	Total Thread Count	22
0	Effective Physical Core Utilization	21.0% (9.228 out of 44)
1	Effective Logical Core Utilization	10.4% (9.156 out of 88)
0	Memory Bound	29.1
1	Cache Bound	37.9
1	DRAM Bound	0.0
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	140.000000	15.000000	2.116811	0.0
1	DRAM Single-Package, GB/sec	70.000000	14.800000	1.951950	0.0
1	QPI Outgoing, GB/sec	68.000000	12.200000	1.186997	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	10.2
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	100.0
2	DP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	x87 FLOPs	0.0
2	Non-FP	89.8
1	FP Arith/Mem Rd Instr. Ratio	0.355759
1	FP Arith/Mem Wr Instr. Ratio	2.084448
0	Collection and Platform Info	
1	Application Command Line	/scratch/tsgoncalves/perf-analysis/stage2/src/gapbs/pr "-f" "./data/web-Google/web-Google.el" "-i" "500" "-t" "1e-6" 
1	Operating System	4.19.0-25-amd64 10.13
1	Computer Name	blaise
1	Result Size	10868964
1	Collection start time	00:33:58 03/10/2025 UTC
1	Collection stop time	00:33:59 03/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Broadwell
2	Frequency	2199990078
2	Logical CPU Count	88
2	Max DRAM Single-Package Bandwidth	70000000000.000000
